	v_e	v_c	v_b
0	11.097127159107368	20.898492808362107	12.314302571851055
1	12.221833361977811	21.32380272551228	12.65865699252446
2	12.261886318974561	37.122410654119165	16.263023920738434
3	11.626181864411162	23.17040301866181	12.633697505134263
4	13.893504239199798	37.0911451771595	18.76679591035198
5	13.553068748590134	20.509273252173262	11.918955090646131
6	13.165453525299439	22.18457535279356	14.24837385099447
7	13.499279038195077	23.021962641954374	13.828335186390433
8	11.800062651658676	21.5620031722154	16.127430721373937
9	12.648805141120366	22.8960420901154	15.542375304035433
10	14.015991678682832	20.692362426361402	11.920994226823563
11	16.160386450606442	21.61161212044148	11.941785784468301
12		19.34355697636982	15.369605524215165
13	11.970695569884073	19.970860433114346	16.81739804355485
14	13.23042639988893	19.026074676561436	13.188586178100525
15	15.06889001812385	19.3830749772715	14.106342110839297
16	11.88356250522972	19.82980938675132	13.107338385289651
