p1	p2	frame	particle	y	x	magnetization	distance	d_err
7	24	2190.515320334262	15.5	215.2695954288568	350.85091569391227	1.0	159.65550777981295	0.1948540787640383
13	17	3169.007992007992	15.0	215.64801179230815	346.9806731874968	1.0	55.814378766478924	0.051835037946688894
17	16	3534.5013736263736	16.5	215.20355620342247	351.76389737947966	1.0	148.18570539369298	0.20433831584074458
19	30	285.2644483362522	24.5	219.27344523479636	253.88439746510844	0.0	65.75810931654972	0.7499870457384201
24	13	2823.0202976995943	18.5	215.6925048439651	349.3534749965016	1.0	125.35010396083925	0.0745156604350677
29	31	431.505787037037	30.0	215.92659302390857	327.79333901357955	1.0	58.58858388160464	0.1984003291008667
30	29	325.51073619631904	29.5	218.350300892987	301.94352102728976	0.0	51.89628408182371	0.10416002817550624
31	34	819.5361010830325	32.5	216.54186787975527	333.7109199340347	1.0	153.08081720220758	0.3628997220697436
32	19	102.05365853658536	25.5	217.4212869004057	229.795500120148	1.0	46.82671341228081	0.5244062325472433
34	7	1476.0230179028133	20.5	216.21479867608443	337.09092729395377	1.0	229.43787683990223	0.3959588491218754
1415	66	4252.267965077233	740.5	218.1060232051919	304.3570005692682	1.0	28.716471284302955	0.26907795635210646
