p1	p2	frame	particle	y	x	magnetization	distance	d_err
4	428	1553.5093457943926	216.0	240.67060534689762	376.2959740193928	0.0	24.324013708568902	0.07928838847170273
5	9	2171.049766718507	7.0	238.53923342718625	369.2563546500934	1.0	107.19446890142073	0.10521371871712637
9	40	2532.4949622166246	24.5	239.70355120305038	360.26657454287397	0.0	50.271622484604585	0.29932520024305836
10	1037	3560.0027700831024	523.5	240.68265961572763	375.32761045827726	0.0	22.074387638938802	0.05466256891355303
22	35	1033.507299270073	28.5	240.93742498559493	383.5977206923549	0.0	44.68514621382716	0.25338351494307276
34	10	3211.988909426987	22.0	240.51772428430712	375.17408655250046	0.0	134.8852424090832	0.08851244514761343
35	4	1320.9854304635762	19.5	240.49037786665352	376.5540312462243	0.0	81.81672564510379	0.10783844457130971
36	22	691.0	29.0	240.71435632412263	370.61409433436836	0.0	171.60972140778566	0.08414410559266958
37	6	4263.759763313609	21.5	240.95582163795467	370.07572482808075	1.0	23.868888083563863	0.21788542216700507
40	34	2694.0247452692865	37.0	242.0239958803685	382.6368594593681	1.0	88.00958775712292	0.34688149063063967
41	36	274.023679417122	38.5	240.43477152997266	346.38422078134226	0.0	81.8894513773484	0.10573797653622595
428	5	1765.4953703703704	216.5	240.5112372965195	373.916864941461	0.0	65.17234236152015	0.06443627111044978
1037	13	3835.491452991453	525.0	240.5735708270135	372.16113770383566	0.0	96.21547050665244	0.03355165750159617
