	magnetization	distance	angle
0	1.0	12.558169489614306	0
0	1.0	98.3155954629335	0
1	0.0	203.99913444485526	0
2	1.0	30.557449241167802	0
3	0.0	138.15037410227632	0
0	0.0	167.99623033557967	0
1	0.0	101.75640664727148	0
2	1.0	11.972171736324427	0
0	1.0	60.9222606932576	0
1	1.0	47.32324911385962	0
2	1.0	62.05320975703226	0
3	1.0	17.299781598153835	0
0	1.0	112.34644582884779	0
1	1.0	17.784187938508747	0
2	1.0	31.336686186229862	0
0	1.0	257.2948354349776	10
1	1.0	92.88670379882015	10
2	1.0	30.30369937177941	10
3	1.0	61.448632167204245	10
4	1.0	11.937585917344213	10
5	1.0	60.216936269233535	10
0	1.0	46.42689298801579	10
0	1.0	35.117341895800905	10
1	0.0	49.03291245965148	10
2	0.0	28.0805094904184	10
3	0.0	144.58017732375194	10
4	1.0	40.63086633093005	10
5	0.0	186.0957315182936	10
6	0.0	12.912517826618776	10
7	0.0	41.20057564312226	10
8	1.0	171.3971061426155	10
9	0.0	36.99377252703757	10
10	1.0	82.30001867064217	10
0	1.0	12.013029560841716	10
1	1.0	12.18139003248875	10
2	0.0	30.76178048229836	10
0	1.0	14.591125422264636	10
1	1.0	50.6594348744631	10
2	0.0	60.55786605603427	10
3	1.0	12.469324190418329	10
4	0.0	103.91965078823799	10
0	1.0	70.73561850117062	10
1	1.0	231.34289502095996	10
2	1.0	76.45914337139473	10
0	1.0	49.89639542641472	20
1	0.0	52.767342544760616	20
2	1.0	46.99359352772421	20
3	1.0	186.01491241495498	20
4	1.0	58.69904314114878	20
5	1.0	80.47483565837291	20
6	0.0	46.8711860323474	20
0	1.0	13.707346583180215	20
0	1.0	84.15801091037041	20
1	1.0	139.9289006070507	20
2	1.0	195.81613854756625	20
3	1.0	81.05953957681905	20
4	1.0	187.51320014774686	20
5	1.0	73.69712453594174	20
6	0.0	66.5101074903075	20
7	0.0	18.466035703671235	20
8	1.0	129.84704497439134	20
9	1.0	172.89163144874215	20
10	0.0	99.04766763084663	20
11	0.0	104.55851326159605	20
12	1.0	71.69920644465074	20
13	1.0	77.41949027818917	20
14	1.0	162.2155087357697	20
15	0.0	63.26972314885005	20
16	0.0	163.1273653835988	20
17	1.0	103.4551634771443	20
18	0.0	13.262060709665688	20
19	1.0	31.11551114979865	20
20	0.0	46.24490761403629	20
0	1.0	102.3605382935987	20
0	1.0	86.6825741262197	20
0	0.0	208.81950042776901	30
1	1.0	134.3438959776649	30
2	1.0	67.1790478656149	30
3	1.0	208.0466387246632	30
4	1.0	103.87760542900236	30
5	0.0	12.801717817558536	30
6	0.0	29.010110286780986	30
7	1.0	35.62863609235921	30
8	1.0	26.096460245956674	30
9	1.0	22.28932229131089	30
10	0.0	39.94112947080947	30
11	0.0	184.5079807890844	30
12	1.0	101.1871857340968	30
13	1.0	52.26241444494588	30
14	1.0	184.374198879498	30
15	1.0	89.09222086357143	30
16	1.0	41.74816851030829	30
17	1.0	181.2069856219733	30
18	1.0	29.3167723951568	30
19	1.0	126.6141757207522	30
20	1.0	233.13603675766757	30
0	0.0	76.8116988847566	30
1	0.0	38.2488900467921	30
2	0.0	117.62572488095086	30
3	1.0	65.32161595090284	30
4	1.0	214.33026730787626	30
5	1.0	30.833636100220318	30
6	1.0	94.71598955430052	30
7	1.0	212.5150074847007	30
0	1.0	12.742471352570838	30
1	1.0	38.34328330374125	30
2	1.0	92.7940316139648	30
3	1.0	102.32671563354008	30
4	1.0	234.76065190410444	30
0	0.0	66.99100686618317	40
1	0.0	20.72274527688479	40
2	0.0	14.314335484136818	40
0	1.0	12.100349774186935	40
1	1.0	21.45639585959693	40
2	1.0	143.50579357160058	40
3	1.0	23.16852785366993	40
4	1.0	179.62872027084904	40
5	0.0	23.450862761504144	40
6	1.0	38.40675498299565	40
7	1.0	12.838838801626327	40
8	0.0	69.47941133958481	40
9	0.0	24.149046050209986	40
10	1.0	101.87795901679488	40
11	0.0	81.89396323450059	40
12	1.0	50.229236171332474	40
13	0.0	50.12500584670646	40
14	0.0	46.53675350316675	40
15	0.0	94.488633259463	40
16	1.0	84.56517432903068	40
17	0.0	47.85112362990863	40
18	0.0	31.08824949623516	40
0	0.0	97.36087343453516	40
0	0.0	21.639422164332593	40
0	0.0	36.432982418298494	40
1	0.0	86.91362263989001	40
2	0.0	49.199110636319176	40
3	0.0	19.039468381363765	40
4	0.0	16.941489679022492	40
0	1.0	183.83464986252838	40
1	0.0	27.63888399410957	40
0	1.0	12.012724880617311	40
0	0.0	59.493700320292966	50
0	0.0	12.266683563943072	50
0	1.0	159.3880229499009	50
1	1.0	38.526197074158624	50
2	0.0	65.52709282577709	50
3	1.0	32.62280149126605	50
4	1.0	149.50317370151126	50
5	0.0	56.4185749921481	50
6	0.0	71.15644873997026	50
7	1.0	45.2185382520686	50
8	0.0	116.23199497533	50
9	1.0	47.3911751903625	50
10	1.0	12.803807726844921	50
0	1.0	240.7809938300407	50
1	0.0	20.2549280532084	50
2	0.0	12.95405212735483	50
3	0.0	138.62053988338224	50
4	0.0	103.0739744365346	50
5	1.0	53.994368154595136	50
6	0.0	35.814046275717395	50
0	1.0	81.04352973266656	50
0	1.0	52.877809722651186	50
1	0.0	52.93274899778985	50
2	0.0	17.314589745385643	50
0	0.0	60.49154639444573	50
0	1.0	193.51359919066053	60
1	1.0	90.70245395996332	60
2	0.0	29.51203781991969	60
0	0.0	42.688009808135746	60
1	0.0	43.29032549371684	60
2	1.0	56.72881624805116	60
3	0.0	17.769081350486452	60
4	0.0	21.200680733754044	60
5	0.0	137.49703602433686	60
6	1.0	151.03229941367545	60
7	0.0	100.04250117751585	60
8	0.0	68.15321187934101	60
9	0.0	16.578979298668052	60
10	1.0	114.50060549825541	60
11	1.0	53.08372113572532	60
12	0.0	135.03086129179152	60
13	0.0	41.63089756226438	60
14	0.0	30.77266151812851	60
0	1.0	13.071986313775367	70
1	0.0	134.5934560901433	70
2	0.0	96.24398836150206	70
3	0.0	16.109525825211758	70
4	0.0	68.77571560927396	70
5	0.0	180.4677276172837	70
6	0.0	32.47215953997746	70
7	0.0	40.906240498056995	70
8	0.0	45.78347531042324	70
9	0.0	168.3058360091301	70
10	0.0	83.36225562477712	70
11	0.0	18.47635369032984	70
12	0.0	145.66782228852625	70
13	0.0	77.56647132922211	70
14	0.0	78.58092854985917	70
15	0.0	19.38761326749267	70
16	1.0	19.779376915622002	70
0	0.0	82.19166061359665	70
0	1.0	72.75400062573256	70
1	1.0	115.08325227861505	70
2	0.0	95.88522204639663	70
3	0.0	38.27126226754759	70
4	0.0	156.86892099839275	70
5	1.0	57.77482409610342	70
6	1.0	54.381646439082544	70
7	1.0	70.05628718025689	70
8	0.0	176.82869174526363	70
9	0.0	47.88993674332034	70
10	0.0	27.52271678612039	70
11	1.0	60.4901741776785	70
12	0.0	16.68380745520957	70
13	1.0	34.50276522548673	70
14	0.0	15.470141537541751	70
15	0.0	103.13987191227012	70
16	0.0	48.232076173739344	70
17	0.0	26.87214711891872	70
18	0.0	22.51262081878685	70
19	0.0	46.50302339260117	70
20	0.0	64.47807414009064	70
0	1.0	65.28492144842781	70
1	1.0	15.605670747948654	70
2	0.0	36.788051815402866	70
3	0.0	44.88134241013131	70
4	1.0	123.79064619211029	70
5	1.0	153.58627356422411	70
6	0.0	20.41214480056289	70
7	0.0	110.16787732697328	70
8	0.0	48.70139512435721	70
9	1.0	83.89233590865841	70
10	0.0	79.24050938157275	70
11	0.0	13.070318124745945	70
12	1.0	28.95548791993655	70
13	0.0	61.10267955191062	70
14	0.0	90.22453060486912	70
15	0.0	96.96995182813076	70
16	0.0	20.292330425511448	70
17	1.0	106.72067710999579	70
18	1.0	59.50191960886976	70
19	1.0	88.26642840211645	70
20	0.0	19.88242634735225	70
21	0.0	127.36024452976582	70
0	1.0	190.8126113349673	70
1	0.0	80.0585639289833	70
2	0.0	54.287918357043026	70
