p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
1	52	4543.0006715916725	26.5	241.79051366987176	364.40566988495357	0.0		36.82065074889444	4.3458848346607395	0.03458783518633099	0.009905193068746439
2	54	6631.495983935743	28.0	242.88847883780792	373.7159583617552	0.0		83.9964234337564	2.6285244476016754	0.21284573411182794	0.008376785106525909
4	11	8029.5	7.5	240.07632786343046	351.98512726720486	1.0		76.19867073516764	1.256581184458686	0.3426832811969187	0.013901312706413255
6	47	5331.983268983269	26.5	242.25883865708238	372.1485704330455	0.0		142.65931020730483	3.9865862861386954	0.21895823655234717	0.013429312849560537
11	59	8219.501700680272	35.0	241.743344736817	361.48206561560744	0.0		74.49636392157856	3.275809141784773	0.047307060115539354	0.012938423259137405
12	14	7223.0	13.0	240.14916255207598	386.21813547620644	1.0		59.25734899478436	0.5114905438269881	0.26444810787754996	0.008827703143437237
13	45	3392.5563524590166	29.0	242.42261195899863	370.89092332567543	0.0		101.70985341354157	3.9934786083000358	0.28184497832232785	0.01377108309198487
17	10	8989.5	13.5	240.5254841109798	353.8940514134207	1.0		20.370336975650286	1.641103471177202	0.21862360653274776	0.01447754872616287
29	1	4125.025615763547	15.0	240.66501497487758	368.24160022950434	1.0		91.89308054659715	1.2789682775537194	0.24834786071709772	0.014066019908124314
30	13	3082.0018501387603	21.5	240.4795106591494	353.64423238362355	0.0		64.70704681868638	1.380733865495115	0.1896019684729855	0.010951584423541704
34	57	990.216049382716	45.5	241.651628591634	370.12973546228125	0.0		20.01499024922701	3.2873425660162345	0.16276968364883335	0.012594103519960488
37	35	273.5	36.0	243.2138930525396	370.90674432340205	1.0		156.66864846044845	2.5457109475443374	0.3242094651949415	0.011772198407703537
38	37	100.5	37.5	240.72776066045395	290.9575638740689	0.0		87.37880626694515	2.9346526529907724	0.11816748393926174	0.024930635344057345
41	49	1545.9990680335509	45.0	241.6231433993659	364.37036934594755	0.0		77.89922784812745	3.4947827554108524	0.04584525492321312	0.010896897422027901
43	2	6310.5	22.5	240.76350496232584	355.59702696328577	1.0		83.24258722126707	2.730693719194189	0.2847424853665613	0.009152398653819886
44	17	8781.001314060446	30.5	241.74098759987695	371.3267861494071	0.0		57.164435041252766	3.5868141703449714	0.2201085275474768	0.015935181493189256
45	29	3926.516826923077	37.0	242.60749942293725	347.71836909662306	0.0		33.05827444378581	1.7549643853154815	0.30700358270612454	0.011139623077259606
47	43	5801.501940491591	45.0	241.5965182956266	377.0236809636113	0.0		26.72633810716809	3.6909659210318413	0.20651717983947115	0.012663926647870968
48	4	7774.190635451505	26.0	241.75167611911667	373.76212503864406	0.0		20.041735244964265	3.451156463715302	0.1790927814382865	0.013863459226737679
49	55	1965.0	52.0	239.80514378858203	360.17352321396044	1.0		63.79862550281882	0.7000048201269096	0.056262699343815184	0.008375292213595115
50	30	2702.5	40.0	240.2315172040142	363.82871839428975	0.0		55.75458477817644	0.6988299844731247	0.03241638450006619	0.009423218563436888
52	6	4913.001690617075	29.0	242.1932209771808	352.44825347232023	0.0		60.32633762479755	2.2494756073029625	0.23753178761584648	0.008394239515407444
54	12	7020.500998003992	33.0	242.05403308265923	372.34150445613636	0.0		61.1449571108973	2.7535691395523236	0.05498739656968768	0.009291490318065308
57	41	1234.5	49.0	241.7365328077536	360.0683094117765	0.0		49.159014032470154	4.503332359853435	0.07542808288343575	0.013471520044573946
59	44	8471.997955010225	51.5	243.61357519783138	372.5371500451133	1.0		123.6865767325059	1.8861941205615562	0.32732893300409066	0.011768216161019446
644	50	2694.003842459174	347.0	241.4159245003325	331.547503238809	1.0		12.784317973114998	2.299585597645425	0.019011349467035248	0.027417623188798437
