	magnetization	distance	angle
0	1.0		0
0	1.0		0
1	0.0		0
2	1.0		0
3	0.0		0
0	0.0		0
1	0.0		0
2	0.0		0
3	1.0		0
0	1.0		0
1	1.0		0
2	1.0		0
3	1.0		0
0	1.0		0
1	1.0		0
2	1.0		0
3	0.0		0
4	1.0		0
0	1.0		10
1	0.0		10
2	0.0		10
3	0.0		10
4	1.0		10
5	0.0		10
6	0.0		10
7	0.0		10
8	1.0		10
9	0.0		10
10	1.0		10
0	1.0		10
1	1.0		10
2	1.0		10
3	1.0		10
4	1.0		10
5	1.0		10
0	1.0		10
0	1.0		10
1	1.0		10
2	1.0		10
0	1.0		10
0	1.0		10
1	1.0		10
2	0.0		10
0	1.0		10
1	0.0		10
2	1.0		10
3	0.0		10
0	1.0		10
1	1.0		10
0	1.0		20
1	0.0		20
2	1.0		20
3	1.0		20
4	1.0		20
5	1.0		20
6	0.0		20
0	0.0		20
1	1.0		20
2	1.0		20
3	1.0		20
4	0.0		20
5	0.0		20
6	1.0		20
7	1.0		20
8	1.0		20
0	1.0		20
1	1.0		20
2	1.0		20
3	1.0		20
4	1.0		20
5	1.0		20
6	0.0		20
7	0.0		20
8	1.0		20
9	1.0		20
10	0.0		20
11	0.0		20
12	1.0		20
13	1.0		20
14	1.0		20
15	0.0		20
16	0.0		20
17	1.0		20
18	0.0		20
19	1.0		20
20	0.0		20
0	1.0		20
0	0.0		30
1	1.0		30
2	1.0		30
3	1.0		30
4	1.0		30
5	0.0		30
6	0.0		30
7	1.0		30
8	1.0		30
9	1.0		30
10	0.0		30
11	0.0		30
12	1.0		30
13	1.0		30
14	1.0		30
15	1.0		30
16	1.0		30
17	1.0		30
18	1.0		30
19	1.0		30
20	1.0		30
0	0.0		30
1	0.0		30
2	0.0		30
3	1.0		30
4	1.0		30
5	1.0		30
6	1.0		30
7	1.0		30
0	1.0		30
1	1.0		30
2	1.0		30
3	1.0		30
0	1.0		40
1	1.0		40
2	1.0		40
3	0.0		40
4	0.0		40
5	0.0		40
6	0.0		40
7	1.0		40
8	0.0		40
9	1.0		40
10	1.0		40
11	1.0		40
12	1.0		40
13	0.0		40
14	1.0		40
15	0.0		40
16	1.0		40
17	0.0		40
18	0.0		40
19	0.0		40
20	1.0		40
21	0.0		40
22	0.0		40
0	1.0		40
0	1.0		40
1	0.0		40
2	0.0		40
3	0.0		40
4	0.0		40
5	1.0		40
6	0.0		40
7	1.0		40
8	1.0		40
0	1.0		40
0	1.0		40
1	0.0		40
0	0.0		40
1	0.0		40
2	0.0		40
0	0.0		50
0	0.0		50
0	1.0		50
1	1.0		50
2	0.0		50
3	1.0		50
4	1.0		50
5	0.0		50
6	0.0		50
7	1.0		50
8	0.0		50
9	1.0		50
10	1.0		50
0	1.0		50
1	0.0		50
2	0.0		50
3	0.0		50
4	0.0		50
5	1.0		50
6	0.0		50
0	1.0		50
1	0.0		50
2	0.0		50
0	1.0		50
0	0.0		50
0	1.0		60
1	1.0		60
2	0.0		60
0	0.0		60
1	0.0		60
2	1.0		60
3	0.0		60
4	0.0		60
5	0.0		60
6	1.0		60
7	0.0		60
8	0.0		60
9	0.0		60
10	1.0		60
11	1.0		60
12	0.0		60
13	0.0		60
14	0.0		60
0	1.0		70
1	0.0		70
2	0.0		70
3	0.0		70
4	0.0		70
5	0.0		70
6	0.0		70
7	0.0		70
8	0.0		70
9	0.0		70
10	0.0		70
11	0.0		70
12	0.0		70
13	0.0		70
14	0.0		70
15	0.0		70
16	1.0		70
0	1.0		70
1	1.0		70
2	0.0		70
3	0.0		70
4	0.0		70
5	1.0		70
6	1.0		70
7	1.0		70
8	0.0		70
9	0.0		70
10	1.0		70
11	0.0		70
12	1.0		70
13	0.0		70
14	0.0		70
15	0.0		70
16	0.0		70
17	0.0		70
18	0.0		70
19	0.0		70
0	1.0		70
1	1.0		70
2	0.0		70
3	0.0		70
4	1.0		70
5	1.0		70
6	0.0		70
7	0.0		70
8	0.0		70
9	1.0		70
10	0.0		70
11	0.0		70
12	1.0		70
13	0.0		70
14	0.0		70
15	0.0		70
16	0.0		70
17	1.0		70
18	1.0		70
19	1.0		70
20	0.0		70
21	0.0		70
0	1.0		70
1	0.0		70
2	0.0		70
3	0.0		70
4	0.0		70
0	1.0		80
1	1.0		80
2	0.0		80
3	0.0		80
4	0.0		80
5	0.0		80
6	1.0		80
7	0.0		80
8	1.0		80
9	0.0		80
10	1.0		80
0	1.0		80
1	0.0		80
2	0.0		80
3	0.0		80
4	0.0		80
5	0.0		80
6	1.0		80
7	0.0		80
8	0.0		80
9	0.0		80
10	1.0		80
11	0.0		80
12	0.0		80
13	0.0		80
14	0.0		80
0	1.0		90
0	1.0		90
0	1.0		90
1	0.0		90
2	0.0		90
3	1.0		90
4	1.0		90
5	0.0		90
6	1.0		90
7	0.0		90
8	1.0		90
9	1.0		90
10	1.0		90
11	0.0		90
12	0.0		90
13	1.0		90
14	0.0		90
15	0.0		90
16	0.0		90
17	0.0		90
18	1.0		90
19	1.0		90
20	1.0		90
21	1.0		90
22	1.0		90
23	0.0		90
24	1.0		90
25	0.0		90
0	0.0		90
1	1.0		90
0	1.0		90
1	0.0		90
0	0.0		90
