p1	p2	frame	particle	y	x	magnetization	distance	dx	dy	dx_err	dy_err
3	1	4999.0	2.0	239.60237609165705	379.03898722943165	1.0		72.74945227021608	0.5840558451405018	0.33234226177408577	0.0095995565752671
6	3	4663.001360544217	4.5	239.67215542654947	359.7742221302124	1.0		115.07010853860851	1.6869289524866748	0.2013635800736327	0.011721242423068759
8	50	6179.0013245033115	29.0	241.21206637054672	359.67905284987086	0.0		95.76743739844434	4.707726423278315	0.014803869834826643	0.009803616997142772
10	2	6662.0	6.0	240.65175046677402	353.82562831522137	0.0		38.12916274969129	3.0966414404262435	0.2505537774207123	0.011444796736401796
12	43	3254.497252747253	27.5	241.65288197870828	371.8492216470557	0.0		156.78294808637293	5.157233019505064	0.242944354781826	0.017213565995422973
26	6	4120.00310237849	16.0	240.06413634435293	378.82911700791925	1.0		57.74982503471301	1.3367506951249761	0.37671120382684137	0.01370809819866419
27	8	5837.002134471718	17.5	239.23972546804188	368.906313889045	1.0		54.3707275395953	0.4161975224496326	0.036087789311073266	0.007456506730432137
35	41	1525.0141376060321	38.0	243.2852860511591	367.243956914937	1.0		70.04500141515756	0.9461982702921327	0.07538415279728447	0.008134143652071494
38	46	658.5	42.0	240.65022832321247	376.33274714798154	0.0		176.86201073494408	1.8146512360254936	0.3836543651786564	0.01827484270087881
41	53	1831.504975124378	47.0	241.45652959542866	358.00436769547986	0.0		27.288186738408438	3.3788991096326537	0.15641895453857416	0.0083218721326857
43	49	3737.501096491228	46.0	243.2650615853394	360.2183905629456	1.0		60.48704405045906	0.5445250895396719	0.05583460871750288	0.006712898082870076
45	35	1335.5	40.0	241.25796898323645	362.1966456364087	0.0		16.20824107568586	3.9008177619517985	0.03514855599967505	0.009506300554909839
46	45	1224.0	45.5	239.30633876052593	358.7085414456115	1.0		34.498789380490265	0.42244924538184875	0.036248956920845565	0.00655616427608589
47	27	5625.579876434245	37.0	241.5045669172829	379.9995316950792	0.0		15.183696144427387	2.821853874262918	0.0822722620744265	0.016615102598099025
48	51	2376.5011655011654	49.5	241.08747818497898	373.31830347919663	0.0		103.08548835634151	3.2681880290586522	0.19122831128226192	0.012410265215556751
49	26	3997.5010615711253	37.5	241.98087516168644	356.6262635147946	0.0		48.18999746873921	1.9136264917389685	0.23508200556363387	0.009280277771156389
50	10	6462.505136986301	30.0	241.2022646069655	361.90322679932655	0.0		26.618713801394545	3.6471094097638335	0.01584095323482099	0.011242108577794492
51	52	2732.500910746812	51.5	240.95554677558383	370.62665915482876	0.0		22.168308437674614	3.547460572093063	0.20641712856800498	0.008965269127366067
52	12	2871.5	32.0	241.21226764517684	373.6956221222451	0.0		46.41217967089807	2.7422822983747306	0.15229662666455387	0.013132010255537717
53	48	2015.9990128331688	50.5	241.4651467841826	365.0827720999345	0.0		64.3505986699873	3.9613823694860875	0.04259172424543846	0.008914937948492086
