p1	p2	frame	particle	y	x	magnetization	distance	d_err
20	1620	966.5	820.0	214.25717946841408	313.6645381688303	0.0	42.93255260266323	0.6566896064723327
24	27	63.5	25.5	213.54748222432727	329.78091370278923	0.0	78.9004071747022	0.3152254227542948
27	88	126.0	57.5	211.623687843818	328.63245917641785	1.0	75.99480945467742	0.1211592968655157
32	700	456.0295857988166	366.0	214.03698445146696	327.9379564177196	0.0	62.440308339147194	0.1388716526358698
42	86	8.0	64.0	212.37560605735897	264.8621589338118	1.0	104.64133130555163	0.07475139185428716
86	24	53.5	55.0	214.2036607573976	285.9161739542665	0.0	36.65731263633184	0.5666634466918806
88	369	184.0	228.5	213.47101162398909	317.7160721728628	0.0	46.02289100484012	0.521275569553815
148	32	415.0	90.0	211.803532701282	322.0824940261898	1.0	42.92826559483246	0.14354349405141345
184	2564	1331.5	1374.0	213.66292214585772	332.4906221109774	0.0	32.42726695719176	0.30924570499495896
369	114	207.0	241.5	213.31817130518053	337.84104424022286	0.0	60.96432740821404	0.8000841354446907
391	1252	911.0	821.5	211.6700696323703	322.59610172418473	0.0	12.901197092952216	0.0764324790610713
400	633	308.8023952095808	516.5	211.6079603536197	321.84134467508784	1.0	60.708369172602396	0.24979000928510076
437	1107	704.5	772.0	212.05870615954575	325.62786832809223	1.0	42.47528461275053	0.21721250268508316
515	148	378.0	331.5	213.94242104183826	324.64887623780623	0.0	32.89855316048641	0.1577204461843227
575	882	525.0	728.5	213.52526511005652	325.6198123255358	0.0	14.544620331196347	0.1303759488205935
633	515	337.5	574.0	213.6718100278743	334.21021873871234	0.0	32.498350193639055	0.4413439125953997
700	575	497.5	637.5	213.93096452759482	330.6302292302148	0.0	33.58802761891311	0.21113175967580958
826	470	323.5	648.0	214.89747915068983	248.87492733594712	0.0	15.594003059345278	0.13941058034702414
844	1208	633.0	1026.0	213.83956736588144	321.9105133261849	0.0	73.2325001327776	0.25745186813963516
948	844	587.0	896.0	212.102740822752	325.1494364711878	1.0	19.789201389301564	0.17533256955021315
967	1580	836.0	1273.5	213.77698570081807	337.0940510312728	0.0	22.24212790376967	0.4428472376973698
1043	948	562.2341463414634	995.5	213.70506389077678	328.21416123482334	0.0	28.387562732900854	0.16449232700156144
1073	967	820.5	1020.0	214.02519287481027	325.94246179280105	0.0	36.32000118394854	0.194799422689362
1107	1398	753.5	1252.5	212.0346833624021	317.78908873007106	1.0	49.24110697877344	0.4736292243545422
1208	437	671.5	822.5	214.04313745880864	328.53837646571634	0.0	25.745837938832707	0.10065940462696873
1252	20	927.5	636.0	213.961674720297	322.2717216913395	1.0	19.11096755619601	0.1817131557244723
1262	2166	1279.5	1714.0	213.8696712078016	325.77179758519407	0.0	25.526607875166373	0.15791547122671604
1398	1073	777.0053475935829	1235.5	213.85891358674698	334.13188588236636	0.0	40.557014580117595	0.44751906881867604
1557	1586	1443.5	1571.5	211.54276616844336	322.03870041102516	1.0	99.94199311319025	0.6972647217246896
1580	1641	868.4907407407408	1610.5	216.04044459359514	327.7573627124442	1.0	25.38719440940749	0.06110830302179386
1586	2783	1487.0	2184.5	211.15096243573888	347.1861429003793	1.0	80.62551045633478	1.3917429238527206
1620	1650	991.0	1635.0	213.81647065653715	333.0541683792577	0.0	55.7206453631113	0.4207726141952177
1641	391	880.5	1016.0	213.551197849246	336.2238718905352	0.0	17.694642057030336	0.3534013666237445
1650	1971	1060.5108695652175	1810.5	215.1706591870086	307.848654477465	0.0	38.938946322068404	0.7599720750627996
1890	1557	1385.0104712041884	1723.5	213.7645093273525	323.37730578000105	0.0	36.44838445905592	0.24118831227387882
1971	2064	1093.0	2017.5	212.0282910556656	327.93137515428833	1.0	84.02238968497934	0.45088360238146896
2044	2355	1189.0	2199.5	213.81893497438944	319.7535090625277	0.0	44.85734188390259	0.3132438196437984
2064	2225	1140.4953703703704	2144.5	213.68435536639524	326.7620855925151	0.0	15.617900460104053	0.03260641723985909
2096	1262	1264.7464788732395	1679.0	214.0203854911504	318.31347771335686	0.0	22.92979198885502	0.3779676907407885
2166	184	1314.0	1175.0	214.06252487380362	319.37211275227827	0.0	36.921890680085475	0.40845004573933735
2225	2044	1159.5636363636363	2134.5	214.05232080564835	322.0450862970923	0.0	16.702932216953165	0.14694554343516894
2355	2337	1211.5	2346.0	213.78945506913013	331.8037880988166	0.0	33.42896916330199	0.33248426613321297
2564	1890	1360.5	2227.0	215.78349721640964	324.40897764104744	1.0	17.50649380753477	0.15173329427146479
