p1	p2	frame	particle	y	x	magnetization	distance	d_err
880	973	3031.0	926.5	210.69978936657532	348.19637748351744	0.0	202.8454525387756	0.06187299309030935
1095	1103	3433.9986824769435	1099.0	211.97488880108233	366.35181121599385	1.0	21.62495664369168	0.15067181982037378
1103	1220	3649.497737556561	1161.5	210.44141730959151	352.33943736967325	0.0	89.52576261062701	0.6602654641899824
1240	1295	3987.503095975232	1267.5	210.5480555193277	356.7080641619268	0.0	36.534395452019005	0.177486842003356
1295	1300	4046.507225433526	1297.5	210.6410224595778	365.934585066668	0.0	24.239154925060774	0.04818126909099043
1300	1384	4197.502024291498	1342.0	211.95006826039696	365.8823340576924	1.0	82.78659271167162	0.05575220034372711
1384	1400	4357.0	1392.0	211.96063480097314	365.3851732569432	1.0	30.029504168053684	0.05705634733139537
1400	1492	4566.0	1446.0	211.91242267160274	366.356927222299	1.0	122.79508575206934	0.05920486834872581
1492	1627	4963.0	1559.5	211.8060350274113	362.2502204824428	1.0	169.09385223590917	0.13595938831610532
1627	1636	5205.498470948012	1631.5	212.06352302012863	376.33046458342955	1.0	42.202479053664234	0.23257193659058892
1636	1661	5350.995377503852	1648.5	212.07560239775756	372.18227500849383	0.0	46.94102129653519	0.1421612224707135
1661	1710	5501.988620199147	1685.5	211.93159987942158	370.57288735822954	0.0	45.77875505205083	0.08951060963431277
